path	source commit	classification	reason	baseline already has it?	release candidate needs it?	runtime impact	migration impact	owner-approved Staff feature
src/app/staff/appointments/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Appointments
src/app/staff/approvals/[domain]/[requestId]/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Approval Center
src/app/staff/approvals/error.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Approval Center
src/app/staff/approvals/history/[domain]/[sourceId]/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Attendance / Corrections
src/app/staff/approvals/loading.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Approval Center
src/app/staff/approvals/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Approval Center
src/app/staff/commission/error.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Commission
src/app/staff/commission/loading.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Commission
src/app/staff/commission/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Commission
src/app/staff/device/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Profile / Workplace
src/app/staff/error.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Shared Staff runtime
src/app/staff/history/corrections/error.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Attendance / Corrections
src/app/staff/history/corrections/loading.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Attendance / Corrections
src/app/staff/history/corrections/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Attendance / Corrections
src/app/staff/history/loading.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Attendance / Corrections
src/app/staff/history/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Attendance / Corrections
src/app/staff/history/records/error.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Attendance / Corrections
src/app/staff/history/records/loading.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Attendance / Corrections
src/app/staff/history/records/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Attendance / Corrections
src/app/staff/layout.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Shared Staff runtime
src/app/staff/leave/error.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Leave
src/app/staff/leave/loading.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Leave
src/app/staff/leave/new/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Leave
src/app/staff/loading.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Shared Staff runtime
src/app/staff/login/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_AUTH	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff auth/session	NONE	Auth / Session
src/app/staff/module-not-enabled/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Shared Staff runtime
src/app/staff/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Shared Staff runtime
src/app/staff/pay/error.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Pay
src/app/staff/pay/loading.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Pay
src/app/staff/pay/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Pay
src/app/staff/payslips/[publicationId]/route.ts	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Payslips
src/app/staff/payslips/error.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Payslips
src/app/staff/payslips/loading.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Payslips
src/app/staff/payslips/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Payslips
src/app/staff/profile/error.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Profile / Workplace
src/app/staff/profile/loading.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Profile / Workplace
src/app/staff/profile/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Profile / Workplace
src/app/staff/requests/attendance-corrections/actions.ts	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Attendance / Corrections
src/app/staff/requests/attendance-corrections/error.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Attendance / Corrections
src/app/staff/requests/attendance-corrections/loading.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Attendance / Corrections
src/app/staff/requests/attendance-corrections/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Attendance / Corrections
src/app/staff/requests/loading.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Shared Staff runtime
src/app/staff/requests/overtime/[finalResultId]/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Timesheet & OT
src/app/staff/requests/overtime/actions.ts	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Timesheet & OT
src/app/staff/requests/overtime/error.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Timesheet & OT
src/app/staff/requests/overtime/loading.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Timesheet & OT
src/app/staff/requests/overtime/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Timesheet & OT
src/app/staff/requests/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Shared Staff runtime
src/app/staff/roster/error.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Schedule
src/app/staff/roster/loading.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Schedule
src/app/staff/roster/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Schedule
src/app/staff/select-workplace/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Profile / Workplace
src/app/staff/staff-consolidation.css	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Shared Staff runtime
src/app/staff/staff.css	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Shared Staff runtime
src/app/staff/timesheet/error.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Timesheet & OT
src/app/staff/timesheet/loading.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Timesheet & OT
src/app/staff/timesheet/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_PRESENTATION	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff 3000 UI/routes	NONE	Timesheet & OT
src/app/staff/verify/page.tsx	baa0f96 narrow file/hunk extraction	STAFF_AUTH	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff auth/session	NONE	Auth / Session
src/app/uploads/staff-app-logos/[filename]/route.ts	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Staff PWA
src/components/staff-pwa/mobile-approval-form.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Approval Center
src/components/staff-pwa/mobile-overtime-approval-form.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Timesheet & OT
src/components/staff-pwa/staff-app-icon.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Staff PWA
src/components/staff-pwa/staff-appointment-calendar.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Appointments
src/components/staff-pwa/staff-approval-center-v2.module.css	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Approval Center
src/components/staff-pwa/staff-approval-sheet.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Approval Center
src/components/staff-pwa/staff-attendance-corrections-v2.module.css	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Attendance / Corrections
src/components/staff-pwa/staff-attendance-corrections-v2.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Attendance / Corrections
src/components/staff-pwa/staff-attendance-history-v2.module.css	MANUAL_RECONCILIATION after baa0f96 extraction	STAFF_PWA	Approved Staff V2 content reconciled against c75 baseline contracts/tests	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Attendance / Corrections
src/components/staff-pwa/staff-auth.tsx	baa0f96 narrow file/hunk extraction	STAFF_AUTH	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff auth/session	NONE	Auth / Session
src/components/staff-pwa/staff-avatar-upload.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Staff PWA
src/components/staff-pwa/staff-claims.module.css	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Claims
src/components/staff-pwa/staff-claims.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Claims
src/components/staff-pwa/staff-commission-v2.module.css	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Commission
src/components/staff-pwa/staff-commission-v2.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Commission
src/components/staff-pwa/staff-date-picker.module.css	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Staff PWA
src/components/staff-pwa/staff-date-picker.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Staff PWA
src/components/staff-pwa/staff-history.tsx	MANUAL_RECONCILIATION after baa0f96 extraction	STAFF_PWA	Approved Staff V2 content reconciled against c75 baseline contracts/tests	YES	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Staff PWA
src/components/staff-pwa/staff-home-attendance-view.ts	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Home
src/components/staff-pwa/staff-home-overview.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Home
src/components/staff-pwa/staff-leave.module.css	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Leave
src/components/staff-pwa/staff-leave.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Leave
src/components/staff-pwa/staff-pay-hub-v2.module.css	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Staff PWA
src/components/staff-pwa/staff-pay-hub-v2.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Staff PWA
src/components/staff-pwa/staff-payslips-v2.module.css	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Payslips
src/components/staff-pwa/staff-payslips-v2.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Payslips
src/components/staff-pwa/staff-profile-v2.module.css	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Profile / Workplace
src/components/staff-pwa/staff-profile.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Profile / Workplace
src/components/staff-pwa/staff-pwa-chrome.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Staff PWA
src/components/staff-pwa/staff-resolution-cases.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Staff PWA
src/components/staff-pwa/staff-schedule-v2.module.css	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Schedule
src/components/staff-pwa/staff-schedule-v2.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Schedule
src/components/staff-pwa/staff-task-navigation.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Staff PWA
src/components/staff-pwa/staff-time-hub-legacy-redirect.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Staff PWA
src/components/staff-pwa/staff-time-hub.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Staff PWA
src/components/staff-pwa/staff-timesheet-v2.module.css	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Timesheet & OT
src/components/staff-pwa/staff-timesheet-v2.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Timesheet & OT
src/components/staff-pwa/staff-today.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Staff PWA
src/components/staff-pwa/staff-v2-primitives.tsx	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Staff PWA
src/components/staff-pwa/staff-v2.module.css	baa0f96 narrow file/hunk extraction	STAFF_PWA	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	Staff PWA/branding	NONE	Staff PWA
src/lib/attendance/employee-auth/otp-service.ts	baa0f96 narrow file/hunk extraction	STAFF_AUTH	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff auth/session	NONE	Attendance / Corrections
src/lib/attendance/employee-auth/response.ts	baa0f96 narrow file/hunk extraction	STAFF_AUTH	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	Staff auth/session	NONE	Attendance / Corrections
src/lib/attendance/employee-correction-archive.ts	baa0f96 narrow file/hunk extraction	STAFF_SHARED_BACKEND	Approved Staff V2 delta isolated without wholesale monolith ancestry	NO	YES (provisional; migration-blocked)	shared Staff read/write path	NONE	Attendance / Corrections
src/lib/attendance/employee-timesheet.ts	baa0f96 narrow file/hunk extraction	STAFF_SHARED_BACKEND	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	shared Staff read/write path	NONE	Timesheet & OT
src/lib/attendance/management-service.ts	baa0f96 narrow file/hunk extraction	STAFF_SHARED_BACKEND	Approved Staff V2 delta isolated without wholesale monolith ancestry	YES	YES (provisional; migration-blocked)	shared Staff read/write path	NONE	Attendance / Corrections
