# Staff V2 accepted-Testing → proposed-candidate diff manifest

Comparison: c75b5d31d311bbb15cd0a6590e24cc3d23e53bdf → 94db430d894d1ee0712ae4201e43505138cbcd06
Generated from git diff --name-status --find-renames. This is an audit manifest, not an approval of candidate scope.
Because the Production-compatible baseline is not proven, there is no fabricated chosen-baseline comparison.

Classification counts:

- BUILD CONFIG: 4
- DOC ONLY: 153
- MIGRATION: 8
- SHARED_DEPENDENCY_REQUIRED: 77
- STAFF_REQUIRED: 107
- TEST ONLY: 78
- UNRELATED / NOT APPROVED: 127

Status	Old path (rename only)	Path	Classification	Reason
A		artifacts/staff-commission-v2/multiple-periods-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-commission-v2/populated-360x800.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-commission-v2/populated-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-commission-v2/populated-412x915.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-commission-v2/positive-adjustment-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-commission-v2/staff-commission-v2-layout-metrics.json	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-commission-v2/zero-lines-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-pay-hub-v2/long-large-amount-360x800.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-pay-hub-v2/manager-as-employee-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-pay-hub-v2/no-publication-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-pay-hub-v2/published-360x800.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-pay-hub-v2/published-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-pay-hub-v2/published-412x915.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-pay-hub-v2/staff-pay-hub-v2-layout-metrics.json	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-payslips-v2/empty-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-payslips-v2/large-net-360x800.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-payslips-v2/manager-as-employee-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-payslips-v2/populated-360x800.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-payslips-v2/populated-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-payslips-v2/populated-412x915.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-payslips-v2/staff-payslips-v2-layout-metrics.json	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-profile-v2/device-expanded-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-profile-v2/long-names-360x800.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-profile-v2/manager-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-profile-v2/multi-employer-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-profile-v2/multi-employer-chooser-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-profile-v2/normal-360x800.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-profile-v2/normal-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-profile-v2/normal-412x915.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-profile-v2/staff-profile-v2-layout-metrics.json	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-profile-v2/verified-redirect-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-schedule-v2/schedule-v2-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-schedule-v2/schedule-v2-412x915.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/README.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/approval-center-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/approval-center-412x915.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/attendance-corrections-360x800.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/attendance-corrections-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/attendance-corrections-412x915.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/attendance-history-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/attendance-history-412x915.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/claims-360x800.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/claims-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/claims-412x915.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/commission-360x800.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/commission-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/commission-412x915.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/home-360x800.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/home-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/home-412x915.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/leave-360x800.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/leave-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/leave-412x915.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/pay-360x800.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/pay-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/pay-412x915.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/payslips-360x800.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/payslips-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/payslips-412x915.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/profile-360x800.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/profile-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/profile-412x915.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/requests-360x800.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/requests-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/requests-412x915.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/schedule-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/schedule-412x915.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/time-360x800.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/time-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/time-412x915.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/timesheet-390x844.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		artifacts/staff-v2-global-final/timesheet-412x915.png	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_AUGUST_ISOLATED_PAYROLL_UAT_TO_PUBLISHED_PAYSLIP.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_AUGUST_PAYROLL_UAT_FEASIBILITY_AUDIT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_CLAIMS_CURRENT_FLOW_AND_OPTIMIZATION_BRIEF.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_HR_PAYROLL_CURRENT_SYSTEM_GUIDE.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_HR_PAYROLL_FINAL_CORE_ACCEPTANCE_CLOSURE.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_HR_PAYROLL_FIVE_ROLE_BROWSER_UAT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_HR_PAYROLL_FRESH_E2E_TRANSACTION_UAT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_HR_PAYROLL_MAIN_UNIT_TEST_COUNT_AUDIT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_HR_PAYROLL_REAL_DEVICE_UAT_FIXTURE_PREPARATION.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_HR_PAYROLL_STAFF_APP_FINAL_SYNC_CLOSURE.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_ISOLATED_PAYROLL_UAT_BUSINESS_PREPARATION.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_LEAVE_CURRENT_FLOW_AND_OPTIMIZATION_BRIEF.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_LINDUNG24_CURRENT_POLICY_ALIGNMENT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_LINDUNG24_PAYROLL_UAT_APPLICABILITY_AUDIT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_LINDUNG24_TESTING_PERSONA_PAYROLL_READINESS.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_NON_PRODUCTION_STATUTORY_FIXTURE_EVIDENCE_FACILITY.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_PAYROLL_CURRENT_FLOW_AND_OPTIMIZATION_BRIEF.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_PAYROLL_STATUTORY_CALCULATION_UAT_EXCEPT_PCB.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_REAL_DEVICE_UAT_ATTENDANCE_CORRECTION_MOBILE_UX.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_REAL_DEVICE_UAT_CLAIM_SUBMISSION_INCIDENT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_REAL_DEVICE_UAT_LEAVE_SUBMISSION_INCIDENT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_REAL_DEVICE_UAT_PUBLISHED_PAYSLIP_PREPARATION.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_SMS123_TESTING_OTP_DELIVERY_INCIDENT.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_TESTING_PAYROLL_FINALIZE_AND_PUBLISH_PAYSLIP.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		docs/TETAMU_TESTING_SYNTHETIC_LINDUNG24_PERSONA_AND_PAYROLL_READINESS.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
M		docs/known-limitations-and-deferred-scope.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
M		docs/staff-app-real-otp-authentication-phase1.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
D		docs/staff-app-sms123-otp-migration.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
M		docs/testing-release-smoke-checklist.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
M		docs/tetamu-system-complete-feature-context.md	DOC ONLY	Documentation/evidence; excluded from runtime package assessment.
A		evidence/staff-approval-center-v2/attendance-p2-detail-390x844.png	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		evidence/staff-approval-center-v2/history-390x844.png	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		evidence/staff-approval-center-v2/history-detail-390x844.png	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		evidence/staff-approval-center-v2/history-empty-long-filter-360x800.png	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		evidence/staff-approval-center-v2/leave-detail-390x844.png	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		evidence/staff-approval-center-v2/overtime-adjust-390x844.png	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		evidence/staff-approval-center-v2/overtime-detail-390x844.png	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		evidence/staff-approval-center-v2/pending-360x800.png	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		evidence/staff-approval-center-v2/pending-390x844.png	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		evidence/staff-approval-center-v2/pending-412x915.png	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		evidence/staff-approval-center-v2/reject-sheet-390x844.png	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		evidence/staff-timesheet-v2-final-polish/timesheet-360-approved-ot-expanded.png	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		evidence/staff-timesheet-v2-final-polish/timesheet-360-collapsed.png	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		evidence/staff-timesheet-v2-final-polish/timesheet-360-expanded.png	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		evidence/staff-timesheet-v2-final-polish/timesheet-390-collapsed.png	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		evidence/staff-timesheet-v2-final-polish/timesheet-390-expanded.png	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		evidence/staff-timesheet-v2-final-polish/timesheet-412-collapsed.png	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		evidence/staff-timesheet-v2-final-polish/timesheet-412-expanded.png	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		evidence/staff-timesheet-v2/timesheet-v2-360.png	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		evidence/staff-timesheet-v2/timesheet-v2-390x844.png	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		evidence/staff-timesheet-v2/timesheet-v2-412x915-expanded.png	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
M		next.config.mjs	BUILD CONFIG	Build/dependency/CI configuration; requires explicit release packaging review.
M		package-lock.json	BUILD CONFIG	Build/dependency/CI configuration; requires explicit release packaging review.
M		package.json	BUILD CONFIG	Build/dependency/CI configuration; requires explicit release packaging review.
M		pnpm-lock.yaml	BUILD CONFIG	Build/dependency/CI configuration; requires explicit release packaging review.
D		prisma/migrations/20260822010000_staff_app_appearance/migration.sql	MIGRATION	Schema or immutable migration-ledger input; requires Testing ledger reconciliation.
D		prisma/migrations/20260822023000_development_concurrent_otp_challenges/migration.sql	MIGRATION	Schema or immutable migration-ledger input; requires Testing ledger reconciliation.
D		prisma/migrations/20260824130000_staff_app_sms123_otp/migration.sql	MIGRATION	Schema or immutable migration-ledger input; requires Testing ledger reconciliation.
A		prisma/migrations/20260826173000_non_production_statutory_fixture_evidence_facility/migration.sql	MIGRATION	Schema or immutable migration-ledger input; requires Testing ledger reconciliation.
A		prisma/migrations/20260827153000_pcb_2026_p1_correctness_foundation/migration.sql	MIGRATION	Schema or immutable migration-ledger input; requires Testing ledger reconciliation.
A		prisma/migrations/20260827170000_effective_dated_statutory_participation/migration.sql	MIGRATION	Schema or immutable migration-ledger input; requires Testing ledger reconciliation.
A		prisma/migrations/20260829110000_canonical_staff_app_appearance/migration.sql	MIGRATION	Schema or immutable migration-ledger input; requires Testing ledger reconciliation.
M		prisma/schema.prisma	MIGRATION	Schema or immutable migration-ledger input; requires Testing ledger reconciliation.
M		public/staff-app/icons/claims.webp	STAFF_REQUIRED	Direct canonical Staff 3000 page, shell, component, asset, or PWA runtime.
M		public/staff-app/icons/commission.webp	STAFF_REQUIRED	Direct canonical Staff 3000 page, shell, component, asset, or PWA runtime.
M		public/staff-app/icons/leave.webp	STAFF_REQUIRED	Direct canonical Staff 3000 page, shell, component, asset, or PWA runtime.
M		public/staff-app/icons/payslips.webp	STAFF_REQUIRED	Direct canonical Staff 3000 page, shell, component, asset, or PWA runtime.
M		public/staff-app/icons/schedule.webp	STAFF_REQUIRED	Direct canonical Staff 3000 page, shell, component, asset, or PWA runtime.
M		public/staff-app/icons/timesheets.webp	STAFF_REQUIRED	Direct canonical Staff 3000 page, shell, component, asset, or PWA runtime.
M		public/sw.js	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		scripts/apply-testing-synthetic-lindung24-persona.ts	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		scripts/capture-staff-commission-v2-visuals.mjs	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		scripts/capture-staff-pay-hub-v2-visuals.mjs	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		scripts/capture-staff-payslips-v2-visuals.mjs	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		scripts/chrome-87-compat-loader.cjs	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
M		scripts/dev-supervisor.mjs	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
M		scripts/embedded-postgres-utils.mjs	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		scripts/finalize-testing-payroll-uat.ts	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
A		scripts/local-oscar-payroll-fixture.ts	UNRELATED / NOT APPROVED	Tracked runtime/support change is outside proven Staff scope; owner approval or exclusion is required.
